Comment,Actual_Sentiment,Cleaned_Comment
For to iran ne rakha ha israeil ka sapna to israeil ka chaknachur hua ha hamas hezbollah samjha tha iran ne israeil k baap ko bhi nhi chhora to israeil kya louda ha😂😂😂😂😂😂😂😂😂😂,positive,iran rakha israeil sapna israeil chaknachur hua hamas hezbollah samjha tha iran israeil baap bhi nhi chhora israeil kya louda ha😂😂😂😂😂😂😂😂😂😂
"Amazing video, A friend of mine referred me to a financial adviser sometime ago and we got to talking about investment and money. I started investing with $150k and in the first 2 months, my portfolio was reading $274,800. Crazy right!, I decided to reinvest my profit and get more interesting. For over a year we have been working together making consistent profit just bought my second home 2 weeks ago and care for my family.",positive,amazing video friend mine referred financial adviser sometime ago got talking investment money started investing first month portfolio reading crazy right decided reinvest profit get interesting year working together making consistent profit bought second home week ago care family
Any class 10th student,neutral,class student
"Amritesh ji ,ceo 🙏 ❤",positive,amritesh ceo
"കിട്ടേണ്ടത് കിട്ടിയപ്പോൾ trumbinum നെതന്യാഹുവിനും മതിയായി,, നാശകാലേ വിപരീത ബുദ്ധി",neutral,കിട്ടേണ്ടത് കിട്ടിയപ്പോൾ trumbinum നെതന്യാഹുവിനും മതിയായി നാശകാലേ വിപരീത ബുദ്ധി
6.43,neutral,
Murkh log hi company m job karta hai. 😂😂😂,positive,murkh log company job karta hai 😂😂😂
Chacha ji Sadar sharan sparsh jay shree Ram Jay Bajrangbali jay brahmcharya jay mahakal jay shiv baba jay shree Krishna Jay radhe radhe radhe 🎪🎪🎪🎪🎪🎪🪔🪔🪔🪔🪔🏵️🏵️🏵️🌺🌺🌺🌸🌸🌸🌸💐💐💐🔱🔱🔱🔱🔱📿📿📿📿📿📡📡📡🔬🔬🔬🔬🔭🔭🔭🥽🥽🥽🥽✍️✍️✍️💉💉💉💉💉💉🫀🫀🫀🧠🧠🧠🧠🌡️🌡️🌡️🌡️🧬🧬🧬🩺🩺🩺🩺🛰️🛰️🛰️🛰️🛰️👁️👁️👁️👁️👁️,neutral,chacha sadar sharan sparsh jay shree ram jay bajrangbali jay brahmcharya jay mahakal jay shiv baba jay shree krishna jay radhe radhe radhe 🎪🎪🎪🎪🎪🎪🪔🪔🪔🪔🪔🏵️🏵️🏵️🌺🌺🌺🌸🌸🌸🌸💐💐💐🔱🔱🔱🔱🔱📿📿📿📿📿📡📡📡🔬🔬🔬🔬🔭🔭🔭🥽🥽🥽🥽✍️✍️✍️💉💉💉💉💉💉🫀🫀🫀🧠🧠🧠🧠🌡️🌡️🌡️🌡️🧬🧬🧬🩺🩺🩺🩺🛰️🛰️🛰️🛰️🛰️👁️👁️👁️👁️👁️
Tumhara Lal lal eye tere gaud me ghusa huaa hai mochandmurkh dogle,neutral,tumhara lal lal eye tere gaud ghusa huaa hai mochandmurkh dogle
"Saurabh dvivedi ka sapna tha ek din sympti le kr acha patrakar ban jauga fir bollywood ke sabhi actors ke interview luga 
 
 Purane wala Saurabh aa ja bhai tere jb 1 million subscribers the tab se follow kr rhe h jo dikhata tha vahi dikha yeh kya faltu line me aa gya h boht log jude hue h bhai tere chehre tere kam se",negative,saurabh dvivedi sapna tha din sympti acha patrakar ban jauga fir bollywood sabhi actor interview luga purane wala saurabh bhai tere million subscriber tab follow rhe dikhata tha vahi dikha yeh kya faltu line gya boht log jude hue bhai tere chehre tere kam
North korea ko khatam kyu nhi kar dete waise bhi wha ke log to rook mar rhe h kyu na kim jong uh ko hi maar de,neutral,north korea khatam kyu nhi kar dete waise bhi wha log rook mar rhe kyu kim jong maar
You have become biased lallantop like other news channels,neutral,become biased lallantop like news channel
Donald mind ur own business 🤣 u havent solved a war yet 🤣,positive,donald mind business havent solved war yet
Faridabad,neutral,faridabad
"27 saal kee umr mein mainne seekha ki vyavasaay aur kripto se kaise laabh kamaaya jae aur mainne apane parivaar ko mujh par garv mahasoos karaaya. main praarthana karata hoon ki aap vah vyakti banenge jo parivaar ke vitteey sangharshon ko khatm kar dega, mujhe aasha hai ki aap vahee banenge 😊",positive,saal kee umr mein mainne seekha vyavasaay aur kripto kaise laabh kamaaya jae aur mainne apane parivaar mujh par garv mahasoos karaaya main praarthana karata hoon aap vah vyakti banenge parivaar vitteey sangharshon khatm kar dega mujhe aasha hai aap vahee banenge
Ravish kumar is a dalal of Rahul Gandhi,neutral,ravish kumar dalal rahul gandhi
"Ups, it's closed, clown !",neutral,ups closed clown
Bibi 🇮🇱💪,neutral,bibi 🇮🇱💪
Omm namah shivay,neutral,omm namah shivay
Syria captured by genocide Israeli Jews.,neutral,syria captured genocide israeli jew
Israel wale to bahut intelligent hai re,positive,israel wale bahut intelligent hai
Indian ne jitne desho ki help ki h sab ne india ko dhokha diya h 😢,neutral,indian jitne desho help sab india dhokha diya
Kise ne upgrad k courses liye hai ???,neutral,kise upgrad course liye hai
"Bss ese hi me apne community medicine ka answer likhta hu... Kahi se kahi chle jao, kisi ko pta na chle... Ese pyaare pyaare segway bnane...",neutral,bs ese apne community medicine answer likhta kahi kahi chle jao kisi pta chle ese pyaare pyaare segway bnane
True stuff,positive,true stuff
काय ये झोपलेस काय युट्यूबवर फेसबुक वर फालतू व्हिडिओ फोटो आलें कुठुन आता तुला काय बंदी घालण्यात यावी सांगितले होते ना तुला पण मुली आहेत ना मग ही फालतू व्हिडिओ फोटो यांच्यावर बंदी घातली पाहिजे ताबडतोब सर्वसामान्य जनता मानसं नागरिक सर्व जण साधुसंत माहात्म्यायांचे वारकऱ्यांना चा सर्वाचाच भारत देश आहे मग हे खोटे कर्म कशाला कशासाठी असे मला वाटते,neutral,काय झोपलेस काय युट्यूबवर फेसबुक फालतू व्हिडिओ फोटो आलें कुठुन आता तुला काय बंदी घालण्यात यावी सांगितले होते तुला मुली आहेत फालतू व्हिडिओ फोटो यांच्यावर बंदी घातली पाहिजे ताबडतोब सर्वसामान्य जनता मानसं नागरिक सर्व साधुसंत माहात्म्यायांचे वारकऱ्यांना सर्वाचाच भारत देश आहे खोटे कर्म कशाला कशासाठी असे मला वाटते
Addafhadsiddiqimoumarsiddiqi271831bhRatjpup❤,positive,addafhadsiddiqimoumarsiddiqibhratjpup❤
Indian army Bravo 👏👏👏🎉🎉,positive,indian army bravo 👏👏👏🎉🎉
A law should be proposed to Congress that no Jewish male child be permitted to possess eyeballs.,neutral,law proposed congress jewish male child permitted possess eyeball
Bahut bahut dukh kee baat hai,neutral,bahut bahut dukh kee baat hai
"They are actually running to watch the show outside, not because of panic😅",positive,actually running watch show outside panic😅
They were given a notification by the us before the strike.,neutral,given notification strike
Hindi bolni nahi ati Sare program english me karte hai,neutral,hindi bolni nahi ati sare program english karte hai
20:00,neutral,
It is most unfortunate for Indians that we have got such a Besharm prime minister.,negative,unfortunate indian got besharm prime minister
Aapki papa rahul ki jay ho .,neutral,aapki papa rahul jay
Good morning,positive,good morning
ISRAEL IS THE CHOSEN NATION...HOLY BIBLE IS BEING REVEALED AS IT IS WRITTEN....,neutral,israel chosen nationholy bible revealed written
Thumbnail update😂,positive,thumbnail update😂
andha bakht.. bhaii bagwaan intezar kar raha haii.. puja karnay kay liyee... jakay artii utatoo patharoo kii...,neutral,andha bakht bhaii bagwaan intezar kar raha haii puja karnay kay liyee jakay artii utatoo patharoo kii
"These reckless auto drivers are been unfair after bike taxi ban demanding unfair amount, behavior unethical , rude behaviour. I just hope this travel minister bring back the bike taxi",negative,reckless auto driver unfair bike taxi ban demanding unfair amount behavior unethical rude behaviour hope travel minister bring back bike taxi
"@mohak sir, i respect your ideology. We need peoples like you.❤",positive,mohak sir respect ideology need people like you❤
Are you going to Gaza too?,neutral,going gaza
Gossip Queen Trump,neutral,gossip queen trump
🇮🇳11 साल अडानी राज,neutral,साल अडानी राज
Trump 🤡🤡🤡🤡🤡 again and again 🤡🤡🤡🤡🤡🤡,neutral,trump 🤡🤡🤡🤡🤡 🤡🤡🤡🤡🤡🤡
दिल खुसी से झूम उठा समाचार सुनकर ! जयहिंद वन्देमात्रम!,neutral,दिल खुसी झूम उठा समाचार सुनकर जयहिंद वन्देमात्रम
Yep to their trouser pockets 😂😂😂😂,positive,yep trouser pocket 😂😂😂😂
Jaihind ❤❤❤❤❤❤,positive,jaihind ❤❤❤❤❤❤
"Sapne dekhna achi baat hai 
 But not this much 😒",neutral,sapne dekhna achi baat hai much
بہت ہی تفصیلی تبصرہ ہے، بہت خوب، یہ زبان گنگا جمنا تہذیب کی بہترین مثال ہے، مبارک باد ❤دل سے,neutral,بہت تفصیلی تبصرہ ہے، بہت خوب، زبان گنگا جمنا تہذیب بہترین مثال ہے، مبارک باد ❤دل
actually we indians are emotional and SRK become voice in 90's his recent movies infact hit due to emotional touch ups.,neutral,actually indian emotional srk become voice recent movie infact hit due emotional touch ups
Good... semiconductor se hmare pas hmare khud k india made mobile phones honge ❤❤❤❤❤,positive,good semiconductor hmare pa hmare khud india made mobile phone honge ❤❤❤❤❤
sulag rahi hai,neutral,sulag rahi hai
"आपात काल एक काला दिवस था ! 50 साल आज वो दिन ही था ! जयहिंद वंदेमात्रम! प्रथम प्रधान मंत्री पंडित जवाहर लाल नेहरू जी ने कहा था की मेरी बेटी को उच्च पद ना दिया जाए, परन्तु जब वो प्रधान मंत्री बनी तो ये आज का दिन का ये काला दिन ही सावित हो गया था ! जयहिन्द वंदेमात्रम!",neutral,आपात काल काला दिवस साल दिन जयहिंद वंदेमात्रम प्रथम प्रधान मंत्री पंडित जवाहर लाल नेहरू कहा मेरी बेटी उच्च दिया जाए परन्तु प्रधान मंत्री बनी दिन काला दिन सावित गया जयहिन्द वंदेमात्रम
Waste management all over India mein sabse kharab Dhanbad Jharkhand ka hai ✅✅,negative,waste management india mein sabse kharab dhanbad jharkhand hai
Can iran be trusted,positive,iran trusted
"Clear UPSC with StudyIQ’s Courses: https://studyiq.u9ilnk.me/d/c3EOEpiCCk
 
 Call Us for UPSC Counselling- 76-4000-3000
 
 UPSC IAS Live GS P2I Foundation 2026 Pratigya Morning Batch : https://studyiq.u9ilnk.me/d/c3EOEpiCCk
 
 UPSC IAS P2I Long Term Foundation LIVE 2027 Pratigya Morning Batch : https://studyiq.u9ilnk.me/d/4ekxQyFxsI
 
 UPSC IAS Live GS P2I Foundation 2028 Nirmaan Batch
 Hurry Enroll Now : https://studyiq.u9ilnk.me/d/ue38vripch
 
 UPSC IAS Prelims to Interview (P2I) Advanced 2026 Batch
 Hurry Enroll Now : https://studyiq.u9ilnk.me/d/PzQSzeemHM
 
 
 Download our App for Dedicated UPSC Materials & Support - https://bit.ly/StudyiqApp",positive,clear upsc studyiq course call upsc counselling upsc ia live foundation pratigya morning batch upsc ia long term foundation live pratigya morning batch upsc ia live foundation nirmaan batch hurry enroll upsc ia prelim interview advanced batch hurry enroll download app dedicated upsc material support
"Maldives is permanently off our lists.
 
 The controversy may have died down and those ministers may have been suspended; and their leader may now be taking a conciliatory tone with us. But none of that fools us. Those comments offered us a glimpse of what their outlook is towards India. Their society is highly radicalised and they don’t deserve our business. We have so many options and Maldives really doesn’t deserve any of our business.",neutral,maldives permanently list controversy may died minister may suspended leader may taking conciliatory tone none fool comment offered glimpse outlook towards india society highly radicalised deserve business many option maldives really deserve business
Ye log working hours or ek insaan ka work load km krke kisi dusre ko bhi employment de skte hain na 🤔 vo q ni krte burnout bhi km ho jae shyd isse or employment bhi bhad jae(shyd),neutral,log working hour insaan work load krke kisi dusre bhi employment skte hain krte burnout bhi jae shyd isse employment bhi bhad jaeshyd
Tujhe ye gyan kaha se ata hai,neutral,tujhe gyan kaha ata hai
#enforcementDirectorate #सीमा #लाइन,neutral,enforcementdirectorate सीमा लाइन
"This is the second part of my video series on Netaji Bose. Which Indian history videos would you like to see next? 
 
 Download KukuFM - https://kukufm.sng.link/Apksi/1ocn/9n2s
 50% off using code ‘DHRUV50’",positive,second part video series netaji bose indian history video would like see next download kukufm using code dhruv
जयहिंद वन्देमात्रम,neutral,जयहिंद वन्देमात्रम
कुत्ते कुमार की गांड जली 🥵🥵🥵🥵🥵😁😁😁😁😁😁😁😁😁😁😁🤣🤣🤣😆😆😆😆👍👍👍👍👍👍👍👍👍👍👍👍,positive,कुत्ते कुमार गांड जली 🥵🥵🥵🥵🥵😁😁😁😁😁😁😁😁😁😁😁🤣🤣🤣😆😆😆😆👍👍👍👍👍👍👍👍👍👍👍👍
"7:24 ""Soure-: Times of India"" was intended or a genuine spelling mistake?",neutral,soure time india intended genuine spelling mistake
Virajsingh yes mabe lost respect but he find/got your sister so pls check with her what she feel now ?,negative,virajsingh yes mabe lost respect findgot sister pls check feel
This is not the site of a recent attack.,negative,site recent attack
AFTER ALL THE MOSAD WILL CONFIRM TO THAT BECAUSE THERE WILL BE A FOLLOW UP INTEL REPORT. UF THEY WILL NOT OBLIRATED AS PRES. TRUMP ASSUMED WHY THE IIRG VERY ANGRY OF WHAT THE BOMBING RESULTS.,negative,mosad confirm follow intel report oblirated pres trump assumed iirg angry bombing result
"Trump statement is very strategic for America to use it as a basis for striking Iran in the future,.400kg of enriched uranuim is to much.",neutral,trump statement strategic america use basis striking iran futurekg enriched uranuim much
Godi media murdabad,neutral,godi medium murdabad
"6:38 
 Raigarh ❌
 Rqipur.. ✅",neutral,raigarh rqipur
Nature se chedchad achi nhi hoti,neutral,nature chedchad achi nhi hoti
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,positive,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Om santi 🥺,neutral,santi
elliptical lift distribution,neutral,elliptical lift distribution
Lagta hai rabish ko paapu ko pm bante dekna hai lekin shayad ab yeh honna paye congress party ab khatam ho chuki hai,positive,lagta hai rabish paapu bante dekna hai lekin shayad yeh honna paye congress party khatam chuki hai
Good evening 🌌🌌❤❤,positive,good evening 🌌🌌❤❤
Good Afternoon Guru Jii😊. I am totally agree with your Point of View💯🙏🇮🇳.,positive,good afternoon guru jii😊 totally agree point view💯🙏🇮🇳
What is happening to these women 😡,neutral,happening woman
Wow what a great video 🤩,positive,wow great video
"Sir/Ma'am, mujhe aapse ek baat share karni thi, woh matlab NEET exam mein lagaye gaye eligibility criteria ke upar objection hai, mujhe wahi ek eligibility criteria par petition file karni hai, actually mera objection yeh hai ki agar hum NEET application form bharte waqt agar usmein 12th ka eligibility criteria sirf 12th pass lagaya gaya hai, toh agar aage humara admission kisi MBBS ya kai saare field mein ho jaayein, toh usmein NEET ke marks/ranking count hone chahiye na, NEET ke marks/ranking ke alawa issi admission ke time 12th pass dekhne ke alawa PCB milake kyun 50% ya 40% dekha jaa raha hai? 
 
 Sir/Ma'am, agar admission ke waqt 12th ke PCB milakar 50% ya 40% waala hi eligibility criteria hi dekhna tha, toh phir NEET ke exams dene ko hi kyu lagaya, NEET ke marks/ranks hi kyu dekhna hai? NEET ke marks kyuhi eligible hai?
 
 Pehle jab CBSE board thi, tab sirf admission ke waqt, 12th pass dekha jaata tha, agar aisa rahega, toh NTA exams nahi conduct kar rahi hai, business chala rahi hai 
 
 Sir/Ma'am, yeh mere akele kaa sawaal nahi hai, lakhon NEET aspirants ya candidates ke bhi aise questions honge, maybe aisa JEE students ke saath bhi hota hoga, kyunki jab bhi maine eligibility criteria par video search kiye hai, tab tab aise doubts dekhe hai, aap agar iss par videos banaoge, aur hashtags daal denge, toh mere saath saath laakho aspirants mujhe support karenge ki nahi, pata nahi, par iss videos ko maybe NTA tak pahuchane ko support jaroor kar sakti hai... 
 
 I hope you'll understand this problem and you'll make a video on this, thanks Sir/Ma'am 🙏✨",positive,sirmaam mujhe aapse baat share karni thi woh matlab neet exam mein lagaye gaye eligibility criterion upar objection hai mujhe wahi eligibility criterion par petition file karni hai actually mera objection yeh hai agar hum neet application form bharte waqt agar usmein eligibility criterion sirf pas lagaya gaya hai toh agar aage humara admission kisi mbbs kai saare field mein jaayein toh usmein neet marksranking count hone chahiye neet marksranking alawa issi admission time pas dekhne alawa pcb milake kyun dekha jaa raha hai sirmaam agar admission waqt pcb milakar waala eligibility criterion dekhna tha toh phir neet exam dene kyu lagaya neet marksranks kyu dekhna hai neet mark kyuhi eligible hai pehle jab cbse board thi tab sirf admission waqt pas dekha jaata tha agar aisa rahega toh nta exam nahi conduct kar rahi hai business chala rahi hai sirmaam yeh mere akele kaa sawaal nahi hai lakhon neet aspirant candidate bhi aise question honge maybe aisa jee student saath bhi hota hoga kyunki jab bhi maine eligibility criterion par video search kiye hai tab tab aise doubt dekhe hai aap agar iss par video banaoge aur hashtags daal denge toh mere saath saath laakho aspirant mujhe support karenge nahi pata nahi par iss video maybe nta tak pahuchane support jaroor kar sakti hai hope youll understand problem youll make video thanks sirmaam
"I believe that once XA49P breaks 80 cents, it will get to 1 dollar that same year. Maybe 1-5 years it will hit $10. If you want 10 million dollars within 5 years, you need 1,000,000 XA49P. If willing to wait 8 years, you likely need 20k-30k XA49P coins. It is all about how long you are willing to hold for.",neutral,believe xap break cent get dollar year maybe year hit want million dollar within year need xap willing wait year likely need xap coin long willing hold
American ❌ unwanted child of Britishers ✅,neutral,american unwanted child britisher
Acchi quality ki road beh jaati hai,neutral,acchi quality road beh jaati hai
It is true Man 💯👍,positive,true man
India Should Help Israel,positive,india help israel
Time to live in peace not war:up 👆,positive,time live peace warup
The dedication you show is really inspiring me prashnt sir 🎉🎉.....hatss of to you,positive,dedication show really inspiring prashnt sir 🎉🎉hatss
thnx to police officers like this we need more officers like them fearless,positive,thnx police officer like need officer like fearless
Modi should feel ashamed- even Rajnath toed the same line. Disgusting,negative,modi feel ashamed even rajnath toed line disgusting
chat GPT awesome.,positive,chat gpt awesome
🔱🕉️🇮🇳 deshbhakt Bam Bhola mukhiya Desh Prem abhiyan mein Humsafar Bani Sundar jivan ki or 📖✍️😂👑🪷🙏🚣🚲,positive,🔱🕉️🇮🇳 deshbhakt bam bhola mukhiya desh prem abhiyan mein humsafar ban sundar jivan 📖✍️😂👑🪷🙏🚣🚲
Why dont you demonstrate its automatic firing as well? Everyone can make single-fire weapons. Even after 70+ years of the AK you are still copying it and calling it indigenous. How inspiring!,neutral,dont demonstrate automatic firing well everyone make singlefire weapon even year still copying calling indigenous inspiring
Bjp ka siksha model😂😂...u hi koi gobarbhakt nhi ban jata😂,neutral,bjp siksha model😂😂u koi gobarbhakt nhi ban jata😂
hand movement thoda kum karo,positive,hand movement thoda kum karo
Lallantop downfall start 👇,neutral,lallantop downfall start
"Is anchor ke muh May hamesha paan hota hai kya,jab koi paan muh may rakh ke bolta hai to aisa hi lagta hai.",neutral,anchor muh may hamesha paan hota hai kyajab koi paan muh may rakh bolta hai aisa lagta hai
"Hume uk ki bharosa jitne k jrurat nhi hai , kab tak hum acchai ka dhol bjate firenge , sarkar ko samjna chie aisa mauka bar bar nhi milega !",neutral,hume bharosa jitne jrurat nhi hai kab tak hum acchai dhol bjate firenge sarkar samjna chie aisa mauka bar bar nhi milega
Ha ha ha... Izrael complaining about ceasefire violation..... Thats rich...,positive,izrael complaining ceasefire violation thats rich
सभीदेश अपने में कट मर के मारे बस भारत सुरक्षितरहना चाहिए,neutral,सभीदेश अपने में मारे भारत सुरक्षितरहना चाहिए
successfull explained mission majnu movie 😂😂,positive,successfull explained mission majnu movie
Kha रोक राय प्लास्टिक पर हर जगह hai,neutral,kha रोक राय प्लास्टिक जगह hai
आपका रुदन कब खत्म होगा....Bss ek topic lekr bethe hai taaki anti hokr kch views hi mil jaye 🤣🤣🤣🤣🤣🤣,positive,आपका रुदन खत्म होगाbss topic lekr bethe hai taaki anti hokr kch view mil jaye 🤣🤣🤣🤣🤣🤣
"Randians r happy that after iron dome failure no one talk about 6-0
 And shivange singh😂😂
 Zangnan-China 
 Gayhind",positive,randians happy iron dome failure one talk shivange singh😂😂 zangnanchina gayhind
We don't trust israel regime... Why not ceasefire should include peace in gaza...,neutral,dont trust israel regime ceasefire include peace gaza
These criminals are scared of Muharram big time.. iran has all what they require .. russia and china sending more stuff .. its only the supreme leader who is not allowing to have a nuke .,negative,criminal scared muharram big time iran require russia china sending stuff supreme leader allowing nuke
"I spent last night looking over some Wikipedia information concerning the history of terrorist attacks over the past 50 years throughout the world. That list seems to be growing larger with each passing decade. You never see the U.S.A., Russia, Canada, Australia, Western European countries, South America, Japan, China, and many other peaceful nations on the list of being involved in organizations that execute terrorism. For some reason the names Iran, Afghanistan, Pakistan, Somalia constantly pop up. If you believe that a country like Iran has peaceful intentions when their actions prove they are attempting to develop weapon grade levels of Uranium enriched nuclear capabilities then you are a sucker that anyone could fool. Russia should also join the U.S. and Israel against the suicidal terrorist activities, they have also been victimized by such tragedies, March 22, 2024 Crocus City Hall, June 23, 2024 Dagestan and should take interest is ensuring that any country with a track record of supporting terrorism is a serious threat armed with nuclear weapons. If Russia does not take this common sense warning they will wind up with a knife in their back similar to World War II when they at first trusted the Axis powers and then found their country invaded by the same powers they put their trust in. You cannot trust or reason with people that use these suicidal insane terrorist methods of revenge, especially with nuclear weapons.",negative,spent last night looking wikipedia information concerning history terrorist attack past year throughout world list seems growing larger passing decade never see usa russia canada australia western european country south america japan china many peaceful nation list involved organization execute terrorism reason name iran afghanistan pakistan somalia constantly pop believe country like iran peaceful intention action prove attempting develop weapon grade level uranium enriched nuclear capability sucker anyone could fool russia also join israel suicidal terrorist activity also victimized tragedy march crocus city hall june dagestan take interest ensuring country track record supporting terrorism serious threat armed nuclear weapon russia take common sense warning wind knife back similar world war first trusted axis power found country invaded power put trust trust reason people use suicidal insane terrorist method revenge especially nuclear weapon
Na ram ram na namste kyaa h tu bhai kyaaa h...,neutral,ram ram namste kyaa bhai kyaaa
💚 Support 🌹 Iran 🤝 Jindabad 🫂 Jindabad 🥰 Jindabad 💚🌹🤝🫂🥰🇮🇷💯,positive,support iran jindabad jindabad jindabad 💚🌹🤝🫂🥰🇮🇷💯
Why are they bombing Iran ?,neutral,bombing iran
इसलिए तो भारत आतंकी का समर्थन करने वाले देश को समर्थन नहीं दे रहा,neutral,इसलिए भारत आतंकी समर्थन करने वाले देश समर्थन नहीं रहा
"Get 75% OFF on Seekho Plus’s Monthly subscription!!
 
 Only at Rs 49 instead of Rs 199 🤑🤑
 
 Use my code NR49!
 
 Click the link ⬇ https://applinks.seekhoapp.com/jLCwkjsffova4iwr8",neutral,get seekho plus monthly subscription instead use code click link
Dhruv bhai Ahmedabad plane crash ke upar full details video plssss..,negative,dhruv bhai ahmedabad plane crash upar full detail video plssss
Trump said it was devastating ( Trump didn’t care at all) so this will happen again,neutral,trump said devastating trump care happen
*Kya Desh mehfooz hathon me hai* 🤔🤔🤔🤔,neutral,kya desh mehfooz hathon hai 🤔🤔🤔🤔
"Misri Sir, we respect you.",positive,misri sir respect
भोसड़ी के तु अब सिखाएगा,neutral,भोसड़ी सिखाएगा
19:18 easiest tbh,positive,easiest tbh
Ab to 15 rupay ka hogya hai maggie,neutral,rupay hogya hai maggie
Welcome to World war 3😂,neutral,welcome world war
"DJT super job. Everything were in line with Isr, SA, Qat, UAE - super job.",positive,djt super job everything line isr qat uae super job
"To travel from one end to other end of observable universe at lightspeed it will take more than 180 plus billions light years ❤😂❤
 90plus billions lights years is earth at centre n radius is 90 plus light years❤❤❤❤",positive,travel one end end observable universe lightspeed take plus billion light year ❤😂❤ plus billion light year earth centre radius plus light years❤❤❤❤
"Israel, Iran, Qatar, UAE and Saudi Arabia will nominate President Trump for a Nobel Peace Prize each. That would make 6 Nobel Prize not to mention at 10 more on the Nobel Tariff Prizes. That is 4 times more than all presidents combined on Nobel Prizes. Someone is busy build shelves.",positive,israel iran qatar uae saudi arabia nominate president trump nobel peace prize would make nobel prize mention nobel tariff prize time president combined nobel prize someone busy build shelf
Today this son of th3 run away,neutral,today son run away
Congrats India,positive,congrats india
Mr.Tharoor should not be with the bunch of Nincompoops. He should move to a party which respects him.,positive,mrtharoor bunch nincompoop move party respect
Nice reporting,positive,nice reporting
Thank you VP of America. I thought I was at war. I feel safe now.,neutral,thank america thought war feel safe
Indian cort police neta beman he,neutral,indian cort police neta beman
"So much for the ""Great"" Negotiator Peace President..wolf in sheeps clothing?? 1/2 of MAGA did not vote for this... supposedly payback to billionaire campaign donors..I have not personally verified that yet...CIA /Deepstate propaganda media has lied to US about CREATED (fake) enemies for DECADES",negative,much great negotiator peace presidentwolf sheep clothing maga vote supposedly payback billionaire campaign donorsi personally verified yetcia deepstate propaganda medium lied created fake enemy decade
The best,positive,best
And the worse is that ki its just not about employees it's about students too... we have too study 12+ hours from class 11th!,negative,worse employee student study hour class
*This story looks like a Phantom movie story*,positive,story look like phantom movie story
It's done.😂 you're late,positive,done😂 youre late
What should we do? Make your own Paneer,neutral,make paneer
https://youtu.be/gOY35LTkJgw?si=rpOnPfyht4pT_Xgk,neutral,
And bhakti ke sath sath anpad giri bhi bro ❤,positive,bhakti sath sath anpad giri bhi bro
I’m from Pakistan and i really liked the way you have explained this scenario without being biased. You are knowledgeable,positive,pakistan really liked way explained scenario without biased knowledgeable
"Maldives:
 Comments on PM Lakshadweep. 
 But the comments are racist. 
 
 But it is complex. It's a geopolitical game ( India, China, Indian Ocean).
  Maldives President campaigns India Out for winning. 
 
 AI - You are anti AI or Pro AI. 
 Two types of people - who fear AI, who leverage AI.
 
 Maldives geo position in India. important
 1. Maritime Trade, - oil etc...
 2. Crucial Minerals - Maldives can be good stop.
 3. Military purpose
 
 90% people in Maldives are Muslims. 
 
 2023, elections - Maldives 
 India play important role in Maldives Independence. 
 
 Until 2010, Maldives are pro india. 
 
 In 2013
 China BELT and ROAD INITIATIVE (BRI) project - they give loans to other countries to increase its influence. 
 
 String Pearl Strategy ( occupying / leasing Ports of different countries for dominating Indian Ocean).
 
 2013 PM said China is best and reliable friend. A complete 180 degree turn. 
 
 2018 President support India.
 
 Indians 
 75% -- honeymoon.
 25% -- family holidays.
 
 India hotels are very high.",positive,maldives comment lakshadweep comment racist complex geopolitical game india china indian ocean maldives president campaign india winning anti pro two type people fear leverage maldives geo position india important maritime trade oil etc crucial mineral maldives good stop military purpose people maldives muslim election maldives india play important role maldives independence maldives pro india china belt road initiative bri project give loan country increase influence string pearl strategy occupying leasing port different country dominating indian ocean said china best reliable friend complete degree turn president support india indian honeymoon family holiday india hotel high
What's happening everywhere... what's more for 2025?,neutral,whats happening everywhere whats
"""Punishment""",negative,punishment
Bhayi rajiv dixit,neutral,bhayi rajiv dixit
Justice for Persia ❤,positive,justice persia
Pure world k andar tababhi American Ka ki wjha se horha h,neutral,pure world andar tababhi american wjha horha
Kisi ko badhiya quality ka zeher mile to batana mujhe apne boss ko dena hai 😢,negative,kisi badhiya quality zeher mile batana mujhe apne bos dena hai
"I'm favoured, $800 every week! I can now give back to the locals in my community and also support God's work and the church. God bless America",positive,favoured every week give back local community also support god work church god bless america
Obviously it's not a Delhi metro...but people take care,positive,obviously delhi metrobut people take care
"Sir, seriously your voice is coming low. Please try to be bit louder.",neutral,sir seriously voice coming low please try bit louder
So the problem with Islam Country if so what you mean?,negative,problem islam country mean
😢😢😢😢❤❤❤❤ israil.,positive,😢😢😢😢❤❤❤❤ israil
जय श्री राम 🚩🚩,neutral,श्री राम
😂 sir ji o toh mere pass bhii hai 😂,positive,sir toh mere pas bhii hai
Fact is :-Iran was already prepared for it..,neutral,fact iran already prepared
Please make a video on our abroad students good and bad journey.,neutral,please make video abroad student good bad journey
Why even reservations,neutral,even reservation
Teri behan ko cho.... halala ki aulaad des drohi,neutral,teri behan cho halala aulaad de drohi
The response of the Prof is useless and nonsense as far as the question is concerned.,negative,response prof useless nonsense far question concerned
thank you Mohak bhaiya for such information,positive,thank mohak bhaiya information
